rodada,data,hora,cidade
10,20/06/2024,21:30,"Sao Paulo, Brazil"
10,19/06/2024,19:00,"Goiania, Brazil"
10,19/06/2024,19:00,"Rio de Janeiro, Brazil"
10,19/06/2024,20:00,Fortaleza
10,19/06/2024,20:00,"Caxias do Sul, Brazil"
10,19/06/2024,20:00,"Sao Paulo, Brazil"
10,19/06/2024,21:30,"Belo Horizonte, Brazil"
10,19/06/2024,21:30,"Florianopolis, Brazil"
10,20/06/2024,18:30,Salvador; Brazil
10,20/06/2024,20:00,"Rio de Janeiro, Brazil"
11,23/06/2024,18:30,"Braganca Paulista, Brazil"
11,22/06/2024,16:00,"Criciuma, Brazil"
11,22/06/2024,17:30,"Curitiba, Brazil"
11,22/06/2024,18:30,"Cuiaba, Brazil"
11,22/06/2024,21:30,"Rio de Janeiro, Brazil"
11,23/06/2024,16:00,"Curitiba, Brazil"
11,23/06/2024,16:00,Salvador; Brazil
11,23/06/2024,16:00,"Rio de Janeiro, Brazil"
11,23/06/2024,18:30,"Belo Horizonte, Brazil"
11,23/06/2024,18:30,"Sao Paulo, Brazil"
12,27/06/2024,20:00,"Sao Paulo, Brazil"
12,26/06/2024,19:00,"Rio de Janeiro, Brazil"
12,26/06/2024,19:00,"Belo Horizonte, Brazil"
12,26/06/2024,20:00,Goiania
12,26/06/2024,20:00,"Sao Paulo, Brazil"
12,26/06/2024,20:00,"Caxias do Sul, Brazil"
12,26/06/2024,21:30,Salvador; Brazil
12,26/06/2024,21:30,Fortaleza
12,26/06/2024,21:30,"Porto Alegre, Brazil"
12,27/06/2024,19:00,"Rio de Janeiro, Brazil"
13,01/07/2024,20:00,"Sao Paulo, Brazil"
13,29/06/2024,18:30,Cuiaba
13,29/06/2024,18:30,"Rio de Janeiro, Brazil"
13,30/06/2024,11:00,"Belo Horizonte, Brazil"
13,30/06/2024,16:00,Fortaleza
13,30/06/2024,16:00,"Porto Alegre, Brazil"
13,30/06/2024,16:00,"Sao Paulo, Brazil"
13,30/06/2024,18:30,"Criciuma, Brazil"
13,30/06/2024,18:30,"Rio de Janeiro, Brazil"
13,30/06/2024,18:30,Salvador; Brazil
14,04/07/2024,20:00,"Rio de Janeiro, Brazil"
14,03/07/2024,19:00,"Cuiaba, Brazil"
14,03/07/2024,20:00,"Criciuma, Brazil"
14,03/07/2024,20:00,"Rio de Janeiro, Brazil"
14,03/07/2024,21:30,"Curitiba, Brazil"
14,03/07/2024,21:30,"Belo Horizonte, Brazil"
14,03/07/2024,21:30,"Braganca Paulista, Brazil"
14,04/07/2024,19:00,Salvador; Brazil
14,04/07/2024,19:00,"Porto Alegre, Brazil"
14,04/07/2024,20:00,"Sao Paulo, Brazil"
15,07/07/2024,20:30,"Rio de Janeiro, Brazil"
15,06/07/2024,20:00,"Rio de Janeiro, Brazil"
15,06/07/2024,20:00,"Sao Paulo, Brazil"
15,07/07/2024,16:00,"Belo Horizonte, Brazil"
15,07/07/2024,16:00,Fortaleza
15,07/07/2024,16:00,"Caxias do Sul, Brazil"
15,07/07/2024,18:00,Porto
15,07/07/2024,18:30,"Goiania, Brazil"
15,07/07/2024,18:30,"Sao Paulo, Brazil"
15,07/07/2024,18:30,Salvador; Brazil
16,11/07/2024,21:30,Salvador; Brazil
16,09/07/2024,21:30,"Braganca Paulista, Brazil"
16,10/07/2024,18:30,"Porto Alegre, Brazil"
16,10/07/2024,19:00,"Curitiba, Brazil"
16,10/07/2024,19:00,"Cuiaba, Brazil"
16,10/07/2024,19:00,"Rio de Janeiro, Brazil"
16,11/07/2024,19:30,"Sao Paulo, Brazil"
16,11/07/2024,20:00,"Criciuma, Brazil"
16,11/07/2024,20:00,"Rio de Janeiro, Brazil"
16,11/07/2024,21:30,"Belo Horizonte, Brazil"
17,17/07/2024,21:30,"Fortaleza, Brazil"
17,13/07/2024,16:00,Salvador; Brazil
